"","matchid","mean_cadence","match_length"
"164","a1v2J000002AFyqQAG",134,5.4
"165","a1v2J00000286RzQAI",43.3333333333333,4.7
"166","a1v2J0000027ntQQAQ",77.1176470588235,48.6
"167","a1v2J000002uSr0QAE",99.3461538461538,87.3
"168","a1v2J000002uSkzQAE",30,8.1
"169","a1v2J0000027MFXQA2",54.6666666666667,5.9
"170","a1v2J000002ACsRQAW",50.1538461538462,21.9
"171","a1v2J0000027QvPQAU",59,4.3
"172","a1v2J0000027NsOQAU",34.4,6.2
"173","a1v2J0000027KBtQAM",52.0526315789474,65.5
"174","a1v2J0000028Z2rQAE",18.5,1.7
"175","a1v2J0000028RA9QAM",41,18
"176","a1v2J0000027OaiQAE",56.5,4.2
"177","a1v2J0000027LR7QAM",53.3333333333333,5.8
"178","a1v2J0000027Pp3QAE",41.8333333333333,8.7
"179","a1v2J0000027LPhQAM",55,42.1
"180","a1v2J0000028eF8QAI",64.4,11.3
"181","a1v2J0000028GltQAE",57.75,8
"182","a1v2J0000028AoYQAU",77,62.5
"183","a1v2J0000028X6mQAE",54.75,30.8
"184","a1v2J0000027wbIQAQ",47.75,19.6
"185","a1v2J0000027KmoQAE",53.3333333333333,5.7
"186","a1v2J0000028LlbQAE",68.5121951219512,95
"187","a1v2J0000027HE3QAM",29.9166666666667,12.4
"188","a1v2J0000027uB3QAI",79.5714285714286,95.3
"189","a1v2J000002811EQAQ",112.5,8
"190","a1v2J0000027nuaQAA",49.7777777777778,15.5
"191","a1v2J0000027tNzQAI",84.6521739130435,64.8
"192","a1v2J000002AEWgQAO",33,15.6
"193","a1v2J0000028ooUQAQ",51.3333333333333,10.9
"194","a1v2J0000027EaVQAU",27.5,4.5
"195","a1v2J0000027UqyQAE",64.25,37.1
"196","a1v2J0000027CX2QAM",48.3333333333333,6.5
"197","a1v2J000002AAqqQAG",49,5.3
"198","a1v2J0000027HExQAM",46.8666666666667,23.4
"199","a1v2J0000027rMRQAY",81.1923076923077,70.9
"200","a1v2J0000027pcyQAA",125.727272727273,53
"201","a1v2J0000028AozQAE",84,14.4
"202","a1v2J0000028MNmQAM",49.1666666666667,20
"203","a1v2J0000028AWyQAM",81.5769230769231,70.7
"204","a1v2J0000028LldQAE",27.375,7.7
"205","a1v2J0000028KUDQA2",44.2307692307692,19.5
"206","a1v2J0000028aZpQAI",112.666666666667,12
"207","a1v2J0000028aCfQAI",49.3,17.2
"208","a1v2J00000289OSQAY",82,63.5
"209","a1v2J0000027KBpQAM",32.4545454545455,12.2
"210","a1v2J000002AC6lQAG",46.6666666666667,5.7
"211","a1v2J000002uQHPQA2",46.8571428571429,12.2
"212","a1v2J0000027tOHQAY",66.0476190476191,46.7
"213","a1v2J0000027u63QAA",70.6875,79
"214","a1v2J0000027wGKQAY",66.6,12.9
"215","a1v2J0000028ab7QAA",52.6470588235294,33.5
"216","a1v2J0000027pdOQAQ",71.2051282051282,94.9
"217","a1v2J000002ABVwQAO",82.7058823529412,50.4
"218","a1v2J0000028MtYQAU",28.2857142857143,7.7
"219","a1v2J00000286T6QAI",43.1666666666667,24.8
"220","a1v2J0000027Us2QAE",90.8260869565217,74.7
"221","a1v2J0000027XpHQAU",27.5454545454545,11.3
"222","a1v2J00000287V1QAI",52.6666666666667,11.7
"223","a1v2J000002uRj8QAE",79.3125,47.5
"224","a1v2J0000027pd1QAA",83.8421052631579,54.2
"225","a1v2J0000027q8CQAQ",94.25,64.5
"226","a1v2J000002AAsSQAW",50.6666666666667,29.7
"227","a1v2J0000029SQYQA2",49.4705882352941,28.8
"228","a1v2J0000028qYTQAY",57.2222222222222,17.5
"229","a1v2J0000027rolQAA",52.3636363636364,19.4
"230","a1v2J0000027MHJQA2",46.6666666666667,30.3
"231","a1v2J0000027tQUQAY",38,18
"232","a1v2J0000028JASQA2",34.3636363636364,12.7
"233","a1v2J0000028VeDQAU",45.1428571428571,21.2
"234","a1v2J0000028VfUQAU",39.8333333333333,16.3
"235","a1v2J00000289NQQAY",70.875,94.2
"236","a1v2J000002ACf1QAG",51.2777777777778,31.1
"237","a1v2J0000028eznQAA",31.6428571428571,15.3
"238","a1v2J0000028A44QAE",82.4545454545455,62.6
"239","a1v2J0000027tT8QAI",62.3846153846154,32.4
"240","a1v2J00000281auQAA",51.5454545454545,22.2
"241","a1v2J0000027LRAQA2",41,3.2
"242","a1v2J00000286mlQAA",69.35,56
"243","a1v2J0000028qYxQAI",62.8571428571429,15.1
"244","a1v2J00000287UxQAI",50.5,7.3
"245","a1v2J0000027YQiQAM",68.375,18.5
"246","a1v2J0000027KBWQA2",50.5,4
"247","a1v2J0000028KFTQA2",106.823529411765,60.2
"248","a1v2J000002AFvXQAW",44.5714285714286,11.4
"249","a1v2J000002ABwSQAW",61.0714285714286,29.9
"250","a1v2J000002uSJMQA2",58.3333333333333,29.6
"251","a1v2J00000282BCQAY",67.75,27.2
"252","a1v2J0000028Ca4QAE",45,17.2
"253","a1v2J0000027sq4QAA",99.9090909090909,73.9
"254","a1v2J0000027tTDQAY",32.9230769230769,15.3
"255","a1v2J000002AEW9QAO",61.5681818181818,94.1
"256","a1v2J0000027si8QAA",99.3571428571429,50.2
"257","a1v2J00000284ijQAA",65.2424242424242,71.6
"258","a1v2J0000027s6UQAQ",66.25,9.2
"259","a1v2J0000027r7bQAA",50.8666666666667,28.4
"260","a1v2J0000027dAjQAI",80.1176470588235,94.1
"261","a1v2J00000281esQAA",35,7.8
"262","a1v2J0000027dAAQAY",61.6666666666667,37.7
"263","a1v2J000002uSQEQA2",78.2631578947368,50.6
"264","a1v2J000002uQxlQAE",57.0526315789474,43.7
"265","a1v2J00000281ZgQAI",97.5,13.9
"266","a1v2J00000285ICQAY",64.2380952380952,50.4
"267","a1v2J0000028H9FQAU",83.2121212121212,94.1
"268","a1v2J0000028abPQAQ",53.1666666666667,24.2
"269","a1v2J0000028MOOQA2",48.4615384615385,21.8
"270","a1v2J0000028J9tQAE",90.7,93.6
"271","a1v2J0000028YvTQAU",69.76,60.4
"272","a1v2J0000028cf3QAA",74.8648648648649,94.2
"273","a1v2J0000027mJ6QAI",78.1428571428571,22.2
"274","a1v2J0000028DCpQAM",109.6,18.7
"275","a1v2J0000028CaFQAU",61.2916666666667,52.3
"276","a1v2J0000028xSqQAI",76.3333333333333,34
"277","a1v2J0000027q7wQAA",111.333333333333,12.3
"278","a1v2J00000288I0QAI",75.8461538461538,33.9
"279","a1v2J0000028XbDQAU",63.8947368421053,47.2
"280","a1v2J0000028DERQA2",49.5,6.7
"281","a1v2J0000027sW3QAI",33.1666666666667,7
"282","a1v2J0000028CapQAE",26.0625,14.1
"283","a1v2J000002uUhfQAE",80.5714285714286,18.9
"284","a1v2J0000028HrFQAU",50.4285714285714,28.7
"285","a1v2J000002AGQ0QAO",69.7647058823529,48.1
"286","a1v2J0000028JqqQAE",71.2380952380952,55.5
"287","a1v2J0000028WxSQAU",35.6,12.2
"288","a1v2J0000027oqzQAA",34.5,2.9
"289","a1v2J0000028rDZQAY",70.15,49.7
"290","a1v2J0000028KwhQAE",81.2903225806452,85.3
"291","a1v2J0000028QeHQAU",68.275,93
"292","a1v2J00000282i5QAA",45.5714285714286,42.1
"293","a1v2J000002AFc8QAG",76.875,20.3
"294","a1v2J0000028KWYQA2",94.304347826087,71.9
"295","a1v2J000002uUSuQAM",95.0909090909091,51.7
"296","a1v2J0000028UPMQA2",99.8461538461538,48.3
"297","a1v2J0000028LixQAE",63.2857142857143,54.6
"298","a1v2J0000027sqSQAQ",70,49.7
"299","a1v2J000002uQNvQAM",33.3,11.1
"300","a1v2J0000028e62QAA",22,1.5
"301","a1v2J00000280EfQAI",27.2857142857143,12.9
"302","a1v2J0000028AmQQAU",63.1,23.4
"303","a1v2J00000280qmQAA",30.8333333333333,12.5
"304","a1v2J0000028XvwQAE",85.9,60.8
"305","a1v2J0000028Q20QAE",79.09375,84.3
"306","a1v2J0000028KwTQAU",39.1666666666667,8
"307","a1v2J0000028BTsQAM",144.666666666667,59.1
"308","a1v2J00000280CZQAY",54,5.6
"309","a1v2J0000027nG7QAI",26,2.1
"310","a1v2J0000028f4yQAA",54,7.8
"311","a1v2J000002ACCHQA4",40,5.5
"312","a1v2J0000028IbrQAE",41,4.4
"313","a1v2J0000027qKAQAY",65.1904761904762,47.4
"314","a1v2J0000028RawQAE",63.28,54.5
"315","a1v2J0000027yK8QAI",48.8,9.2
"316","a1v2J0000028POrQAM",88.1666666666667,55.2
"317","a1v2J000002AFT8QAO",47.6,16.6
"318","a1v2J0000028XaoQAE",33.3,11.5
"319","a1v2J0000027ruPQAQ",54.5454545454545,21.1
"320","a1v2J000002ABGqQAO",27.1111111111111,10.5
"321","a1v2J0000028LhZQAU",83.3684210526316,55.1
"322","a1v2J0000028fBLQAY",26.6,5.4
"323","a1v2J0000027r83QAA",54,4.9
"324","a1v2J0000028Q37QAE",37.9375,23.4
"325","a1v2J0000028HsqQAE",68.2857142857143,32.3
"326","a1v2J0000027sqvQAA",32.5,15.6
"327","a1v2J0000027nFyQAI",79.8709677419355,84.1
"328","a1v2J000002848dQAA",53.6666666666667,11
"329","a1v2J0000028J1pQAE",26.4,4.6
"330","a1v2J0000027hUsQAI",46.1666666666667,18.9
"331","a1v2J0000027sUQQAY",86.7142857142857,84.2
"332","a1v2J0000028Jz9QAE",62,6
"333","a1v2J0000027zcQQAQ",62.0322580645161,64
"334","a1v2J0000027zaoQAA",40.1818181818182,15.5
"335","a1v2J0000028VEpQAM",70.8717948717949,91.4
"336","a1v2J0000027rGrQAI",131.5,27
"337","a1v2J000002uU7GQAU",45.4,15.4
"338","a1v2J0000027vwAQAQ",58.5454545454545,22.1
"339","a1v2J0000027sUTQAY",58.4166666666667,27.1
"340","a1v2J00000286hUQAQ",113.888888888889,73.2
"341","a1v2J0000027srFQAQ",59.5,4.7
"342","a1v2J0000027nGBQAY",44.8,7.8
"343","a1v2J0000028NSPQA2",71.44,61.6
"344","a1v2J0000028RR3QAM",55.9259259259259,49.9
"345","a1v2J0000028MSyQAM",78.3428571428571,92.1
"346","a1v2J0000028WVlQAM",80.0909090909091,61.1
"347","a1v2J0000027sqyQAA",106.333333333333,44.3
"348","a1v2J0000028f1UQAQ",73,15.2
"349","a1v2J00000280buQAA",30.5,4.2
"350","a1v2J0000028VD6QAM",29.5555555555556,10.1
"351","a1v2J00000281oUQAQ",115.454545454545,52.1
"352","a1v2J000002ADfgQAG",84.8947368421053,55
"353","a1v2J00000284YVQAY",76.3055555555556,91.4
"354","a1v2J0000027lV6QAI",137.55,92.1
"355","a1v2J000002ACHfQAO",49.9230769230769,22.2
"356","a1v2J0000027v66QAA",28.75,4.1
"357","a1v2J0000028JpXQAU",49.1818181818182,18.2
"358","a1v2J000002822jQAA",32.25,9.1
"359","a1v2J00000286ZSQAY",61.4117647058824,34.6
"360","a1v2J0000027yseQAA",33,3.9
"361","a1v2J000002uSc7QAE",32.2,10.7
"362","a1v2J0000028UxaQAE",74.8076923076923,70.6
"363","a1v2J0000027cuuQAA",43.3333333333333,4.8
"364","a1v2J0000028e26QAA",43.5,14.9
"365","a1v2J0000028BT5QAM",36.6153846153846,16.4
"366","a1v2J0000028e2oQAA",52.7058823529412,34.7
"367","a1v2J0000028nukQAA",71.4705882352941,43.7
"368","a1v2J0000028EGoQAM",15,0.8
"369","a1v2J0000027cvBQAQ",30.5625,16.9
"370","a1v2J0000027mGLQAY",48.2857142857143,22.9
"371","a1v2J0000028RuJQAU",41.5,6.1
"372","a1v2J0000028DvqQAE",33,19.6
"373","a1v2J0000028Qk1QAE",62.8235294117647,39.6
"374","a1v2J0000027ubwQAA",55,43.9
"375","a1v2J0000028ArXQAU",124,8.4
"376","a1v2J0000028N84QAE",52.5,27.4
"377","a1v2J00000283KxQAI",53.5833333333333,21.6
"378","a1v2J000002uU1hQAE",70,9.7
"379","a1v2J000002uR1fQAE",48.5,10.2
"380","a1v2J0000027sb9QAA",122.5,33.5
"381","a1v2J0000027rb3QAA",32.6,11.9
"382","a1v2J000002uUB2QAM",74.9166666666667,91.1
"383","a1v2J0000028eb8QAA",40.8333333333333,9.4
"384","a1v2J00000284YyQAI",43.8888888888889,13.9
"385","a1v2J00000290bMQAQ",87.258064516129,91.1
"386","a1v2J0000028DTJQA2",26.6666666666667,3.7
"387","a1v2J000002918rQAA",74.65,54.5
"388","a1v2J00000280hyQAA",82.2666666666667,43.5
"389","a1v2J00000282FLQAY",37.6153846153846,22.6
"390","a1v2J000002AGFyQAO",39.4545454545455,20.7
"391","a1v2J00000290bmQAA",29.6428571428571,14.6
"392","a1v2J00000285eZQAQ",64.3461538461538,67.4
"393","a1v2J000002uSkcQAE",47.8571428571429,12.2
"394","a1v2J0000028DKmQAM",60.6666666666667,6.5
"395","a1v2J00000282dPQAQ",13.5,1.3
"396","a1v2J0000027WVUQA2",68,9.6
"397","a1v2J00000281U0QAI",39.6363636363636,19.1
"398","a1v2J0000028E3GQAU",67.1176470588235,41.2
"399","a1v2J0000027rQ2QAI",60.2727272727273,28.1
"400","a1v2J000002ADybQAG",45.1176470588235,26.8
"401","a1v2J000002863bQAA",94.3,71
"402","a1v2J00000285WGQAY",35.6153846153846,15.7
"403","a1v2J000002AFaAQAW",46.5,13.1
"404","a1v2J00000283VbQAI",49.85,34.5
"405","a1v2J0000028DDQQA2",54.125,19.1
"406","a1v2J00000291Z7QAI",89.8333333333333,90
"407","a1v2J0000027mHLQAY",72.8571428571429,54.3
"408","a1v2J0000027tXXQAY",31.5,12.7
"409","a1v2J0000027Xr9QAE",28.0769230769231,12.5
"410","a1v2J0000028nYNQAY",50.3,26
"411","a1v2J0000027swuQAA",80.4736842105263,54.3
"412","a1v2J0000027xGDQAY",41.625,23.5
"413","a1v2J0000027QNDQA2",70.1111111111111,65.1
"414","a1v2J0000028D92QAE",104.083333333333,48.6
"415","a1v2J0000028fPFQAY",68,90.2
"416","a1v2J0000027LFsQAM",79.969696969697,89.5
"417","a1v2J0000027XXAQA2",71.4814814814815,63.9
"418","a1v2J0000028M32QAE",48.304347826087,40.3
"419","a1v2J0000028I84QAE",76.6363636363636,59.6
"420","a1v2J0000028lgDQAQ",61.8571428571429,15.7
"421","a1v2J0000027KVRQA2",49.7647058823529,31.4
"422","a1v2J0000028e2eQAA",88.5,7.8
"423","a1v2J00000281TzQAI",52.1428571428571,25
"424","a1v2J0000028CtNQAU",59.8571428571429,42.1
"425","a1v2J0000027vJaQAI",93.72,82
"426","a1v2J00000288jiQAA",41.75,13.1
"427","a1v2J0000028NecQAE",29.3333333333333,9
"428","a1v2J0000027tYAQAY",19.6666666666667,2.5
"429","a1v2J0000027iv2QAA",32.5,13.3
"430","a1v2J0000028M9mQAE",32.5,13.3
"431","a1v2J0000028O7vQAE",36.5555555555556,11.1
"432","a1v2J00000280o3QAA",46.3571428571429,23
"433","a1v2J0000029SQoQAM",40.75,20.4
"434","a1v2J0000028eO1QAI",28.75,8.1
"435","a1v2J0000027icOQAQ",49.3333333333333,28.4
"436","a1v2J0000027i8YQAQ",35.2857142857143,8.7
"437","a1v2J0000027miqQAA",27.8333333333333,6.4
"438","a1v2J0000028zmNQAQ",35.3333333333333,7.4
"439","a1v2J0000027UAeQAM",50.7142857142857,24.3
"440","a1v2J00000287FwQAI",40,10.1
"441","a1v2J00000289qdQAA",72.875,42
"442","a1v2J0000027MxkQAE",66.9,46.2
"443","a1v2J0000027QNFQA2",35.7777777777778,11
"444","a1v2J0000027MxFQAU",33,14.5
"445","a1v2J0000027OcpQAE",26,3
"446","a1v2J000002AAobQAG",26,3
"447","a1v2J000002ABAZQA4",34,9.4
"448","a1v2J000002AAptQAG",66.8181818181818,51
"449","a1v2J000002AAsUQAW",46.7692307692308,23.6
"450","a1v2J0000028NyQQAU",61.5555555555556,47.1
"451","a1v2J0000027jSKQAY",28.4166666666667,11.6
"452","a1v2J0000027LfsQAE",26,1.3
"453","a1v2J0000027cCIQAY",60.8095238095238,45.6
"454","a1v2J0000028UlMQAU",84.3548387096774,88.6
"455","a1v2J0000027KmsQAE",29.8571428571429,7.2
"456","a1v2J0000029SQhQAM",48.5714285714286,24
"457","a1v2J000002AArqQAG",33.2,11.4
"458","a1v2J00000287CRQAY",83.6666666666667,42
"459","a1v2J0000027vjcQAA",49.64,41.5
"460","a1v2J0000027KoTQAU",37.3571428571429,20.3
"461","a1v2J000002AB9KQAW",42.2222222222222,12.9
"462","a1v2J0000028aD9QAI",1,4.8
"463","a1v2J0000027w0gQAA",36.5,5.7
"464","a1v2J0000027yQeQAI",35,10.1
"465","a1v2J0000027x3mQAA",67.6578947368421,89
"466","a1v2J0000027KCOQA2",30.4166666666667,12.4
"467","a1v2J0000027xFIQAY",78.5909090909091,60.5
"468","a1v2J0000028ecOQAQ",69.9230769230769,60.9
"469","a1v2J000002AC5uQAG",39.7692307692308,19.6
"470","a1v2J0000028zmOQAQ",36.9,12.6
"471","a1v2J0000027LQgQAM",25.2,4.6
"472","a1v2J0000028XdbQAE",34.2222222222222,11.1
"473","a1v2J0000028nYdQAI",78.25,35.2
"474","a1v2J0000027mIlQAI",52.25,25
"475","a1v2J000002ACsOQAW",64.9705882352941,77.6
"476","a1v2J00000289qgQAA",29.5,18.4
"477","a1v2J0000027vJAQAY",63.3333333333333,7.9
"478","a1v2J0000027QOHQA2",22,1.5
"479","a1v2J0000027MwgQAE",32.1,11
"480","a1v2J0000027OahQAE",31.5333333333333,16.7
"481","a1v2J00000289IXQAY",65.95,89
"482","a1v2J0000027QHSQA2",36.7142857142857,38.9
"483","a1v2J0000027LhHQAU",29.5454545454545,11.2
"484","a1v2J0000038RjTQAU",23.4285714285714,6.2
"485","a1v2J0000027PGGQA2",28.9090909090909,11.2
"486","a1v2J0000028zmGQAQ",40.7777777777778,12.4
"487","a1v2J0000027XncQAE",55.2142857142857,27.5
"488","a1v2J0000028UlyQAE",52.8823529411765,30
"489","a1v2J0000027L4aQAE",71.2,61.2
"490","a1v2J0000027y2QQAQ",67,12.2
"491","a1v2J0000027L3vQAE",27.5,11.4
"492","a1v2J0000028zm2QAA",29.2727272727273,11.2
"493","a1v2J0000027QOCQA2",46,23.8
"494","a1v2J0000028e8eQAA",107.25,19.3
"495","a1v2J0000027T6jQAE",41.6,14.1
"496","a1v2J00000288VkQAI",133.75,19.1
"497","a1v2J0000027xfxQAA",38.75,6.3
"498","a1v2J000002ACrmQAG",100.833333333333,41.2
"499","a1v2J00000289qkQAA",45.9285714285714,24.4
"500","a1v2J0000027kqLQAQ",53.875,43.3
"501","a1v2J0000027Lh5QAE",28.9285714285714,13.7
"502","a1v2J0000029SQcQAM",36.7857142857143,19.8
"503","a1v2J000002AAs5QAG",41.2222222222222,12.4
"504","a1v2J000002ABa2QAG",41.2222222222222,12.4
