"","match_id_18char","match_length","net_sentiment","positive","negative","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"68","a1v2J0000027KmuQAE",18.2,36,42,6,5,57,0,6,20,0,1,94
"69","a1v2J0000027KmwQAE",18,116,178,62,11,257,1,9,52,64,13,274
"70","a1v2J0000027Kn7QAE",14.8,81,149,68,66,166,25,70,75,61,6,251
"71","a1v2J0000027KnLQAU",28.8,2667,3175,508,246,3471,199,253,2289,426,978,3366
"72","a1v2J0000027KnaQAE",2.9,15,15,0,0,12,0,0,14,4,0,8
"73","a1v2J0000027KnbQAE",3.4,9,9,0,0,12,0,9,0,0,0,4
"74","a1v2J0000027KndQAE",6,9,12,3,3,14,3,4,5,0,8,14
"75","a1v2J0000027KneQAE",21.9,77,131,54,32,169,16,27,89,59,117,113
"76","a1v2J0000027KnxQAE",18.9,74,124,50,46,179,6,12,107,0,10,128
"77","a1v2J0000027KnyQAE",18.7,4,11,7,2,42,3,0,5,3,9,72
"78","a1v2J0000027Ko1QAE",36.4,37,117,80,25,124,13,21,48,85,36,123
"79","a1v2J0000027Ko7QAE",6.9,134,184,50,0,135,0,0,136,66,34,76
"80","a1v2J0000027KoKQAU",9.6,67,69,2,0,59,0,4,40,2,34,110
"81","a1v2J0000027KoOQAU",30.7,271,309,38,10,442,18,11,164,33,100,483
"82","a1v2J0000027KoTQAU",20.3,207,341,134,49,511,7,21,133,81,31,243
"83","a1v2J0000027KoVQAU",27.5,406,559,153,133,640,52,98,436,124,160,447
"84","a1v2J0000027KoXQAU",9,1488,1701,213,152,1448,150,191,1336,173,369,1317
"85","a1v2J0000027KoYQAU",12.4,85,89,4,2,48,0,0,42,25,24,66
"86","a1v2J0000027KobQAE",8.4,18,31,13,8,39,5,8,23,7,1,12
"87","a1v2J0000027KogQAE",6.6,110,146,36,14,176,18,20,112,100,105,62
"88","a1v2J0000027KohQAE",14.9,1531,2224,693,62,1934,59,54,1714,652,179,1182
"89","a1v2J0000027KooQAE",10.1,61,69,8,0,92,0,0,48,8,1,64
"90","a1v2J0000027KopQAE",28.2,1176,1339,163,43,1103,9,41,1117,125,207,1103
"91","a1v2J0000027KoqQAE",1.4,50,50,0,0,0,0,0,0,0,0,50
"92","a1v2J0000027KorQAE",6.3,105,112,7,5,127,5,7,108,52,11,46
"93","a1v2J0000027Kp0QAE",49.6,908,1008,100,34,1158,33,41,849,92,342,875
"94","a1v2J0000027Kp1QAE",8,138,178,40,28,198,6,22,144,13,24,92
"95","a1v2J0000027Kp2QAE",10.8,99,100,1,0,85,0,17,94,0,0,25
"96","a1v2J0000027Kp3QAE",38.7,87,151,64,7,172,5,19,63,61,49,230
"97","a1v2J0000027KpNQAU",8.3,40,41,1,0,40,0,3,7,0,1,66
"98","a1v2J0000027KpSQAU",11.4,52,53,1,0,48,0,0,43,18,1,13
"99","a1v2J0000027KpUQAU",18.9,144,279,135,128,266,1,18,121,2,4,413
"100","a1v2J0000027KpWQAU",9.5,18,30,12,3,31,0,0,9,11,2,17
"101","a1v2J0000027KpXQAU",26.2,53,128,75,5,158,5,5,69,78,23,150
"102","a1v2J0000027KpjQAE",10.8,86,102,16,12,65,0,15,60,2,14,54
"103","a1v2J0000027L3vQAE",11.4,1931,1961,30,8,1927,24,7,1717,1468,56,271
"104","a1v2J0000027L4aQAE",61.2,35472,37681,2209,2613,38281,825,3653,24774,1417,18055,28471
"105","a1v2J0000027LFsQAM",89.5,7682,8305,623,1442,7314,206,1822,5186,301,2377,5258
"106","a1v2J0000027LPRQA2",19.5,223,252,29,21,175,15,30,89,12,6,168
"107","a1v2J0000027LPcQAM",5.6,28,28,0,0,24,0,0,23,2,6,23
"108","a1v2J0000027LPdQAM",7.2,30,30,0,0,27,0,0,27,0,6,25
"109","a1v2J0000027LPhQAM",42.1,3623,4165,542,177,4242,98,141,3061,373,1648,4137
"110","a1v2J0000027LPsQAM",19.3,-2,51,53,3,131,0,10,25,5,10,124
"111","a1v2J0000027LPwQAM",8,36,160,124,114,267,10,16,71,25,29,154
"112","a1v2J0000027LQPQA2",7.7,78,105,27,17,33,5,12,39,10,15,79
"113","a1v2J0000027LQVQA2",9.1,72,82,10,10,66,10,22,45,13,33,72
"114","a1v2J0000027LQWQA2",6.8,75,100,25,15,90,15,49,40,20,20,76
"115","a1v2J0000027LQXQA2",3.4,-20,37,57,53,33,0,5,16,2,0,41
"116","a1v2J0000027LQgQAM",4.6,10,18,8,8,7,0,2,9,0,4,3
"117","a1v2J0000027LQjQAM",5.6,47,47,0,0,43,0,0,43,0,1,42
"118","a1v2J0000027LQkQAM",37.8,2104,2497,393,102,2932,62,228,1916,392,641,2274
"119","a1v2J0000027LQnQAM",5.1,348,403,55,13,291,6,17,219,46,147,339
"120","a1v2J0000027LQyQAM",26.4,111,135,24,0,157,0,0,82,24,31,119
"121","a1v2J0000027LQzQAM",7.2,77,82,5,2,57,0,19,54,8,25,79
"122","a1v2J0000027LR0QAM",1.6,12,12,0,0,7,0,0,10,0,4,4
"123","a1v2J0000027LR6QAM",5.9,160,206,46,28,144,13,22,107,22,20,190
"124","a1v2J0000027LR7QAM",5.8,109,138,29,12,166,20,14,74,11,12,73
"125","a1v2J0000027LRAQA2",3.2,25,25,0,0,82,0,0,17,0,1,20
"126","a1v2J0000027LRBQA2",3.2,0,8,8,4,7,0,0,3,0,0,6
"127","a1v2J0000027LRCQA2",10.8,166,171,5,0,81,0,3,95,5,38,204
"128","a1v2J0000027LRGQA2",41.2,529,1196,667,603,1809,49,84,342,161,229,2198
"129","a1v2J0000027LRRQA2",10.7,74,79,5,3,50,0,4,44,4,34,114
"130","a1v2J0000027LRUQA2",5.6,5,5,0,0,6,0,3,5,3,5,9
"131","a1v2J0000027LRnQAM",7.1,96,98,2,14,64,13,43,56,21,11,217
"132","a1v2J0000027LRpQAM",14.9,201,230,29,13,256,33,24,76,50,46,255
"133","a1v2J0000027LRrQAM",18.5,161,192,31,18,105,14,15,98,29,23,184
"134","a1v2J0000027LRtQAM",0.9,7,7,0,0,4,0,0,0,0,0,4
"135","a1v2J0000027LRyQAM",8.2,19,38,19,4,26,4,5,24,20,7,19
"136","a1v2J0000027LS7QAM",16.1,225,301,76,11,144,0,5,139,80,60,107
"137","a1v2J0000027LfVQAU",20.8,433,668,235,165,1035,179,37,308,185,268,986
"138","a1v2J0000027LfYQAU",10.4,-13,23,36,0,16,0,1,16,4,1,23
"139","a1v2J0000027LfZQAU",20.1,92,108,16,4,123,0,9,86,12,57,72
"140","a1v2J0000027LfcQAE",9.7,450,663,213,101,659,0,15,522,240,90,619
"141","a1v2J0000027LfhQAE",5.6,38,108,70,54,93,11,20,58,27,15,102
"142","a1v2J0000027LfsQAE",1.3,8,10,2,2,11,0,2,7,2,0,7
"143","a1v2J0000027LfzQAE",21.1,135,189,54,47,255,13,19,116,20,63,316
"144","a1v2J0000027LgCQAU",11.4,74,87,13,5,94,0,5,62,29,34,57
"145","a1v2J0000027LgFQAU",4.2,-8,77,85,75,134,0,5,28,6,8,56
"146","a1v2J0000027LgPQAU",7.2,36,40,4,0,25,0,3,15,2,20,88
"147","a1v2J0000027LgRQAU",5.5,5,19,14,12,11,0,9,13,6,10,66
"148","a1v2J0000027LgVQAU",20.4,84,97,13,3,86,0,9,60,12,23,80
"149","a1v2J0000027LgfQAE",35.9,43,120,77,4,135,0,7,96,76,34,126
"150","a1v2J0000027LghQAE",11.8,47,65,18,8,93,0,8,45,13,41,42
"151","a1v2J0000027LgiQAE",9.9,314,483,169,39,396,108,36,239,143,161,268
"152","a1v2J0000027LgjQAE",9.1,62,94,32,13,150,5,21,73,14,17,65
"153","a1v2J0000027LgnQAE",28.2,243,336,93,37,348,10,25,265,132,68,256
"154","a1v2J0000027LgqQAE",5.8,145,163,18,12,131,0,13,108,4,25,106
"155","a1v2J0000027LgtQAE",7.3,53,55,2,0,33,0,0,28,4,16,44
"156","a1v2J0000027LguQAE",27.2,227,294,67,53,246,32,64,146,45,46,620
"157","a1v2J0000027Lh0QAE",7.8,27,106,79,22,91,4,66,71,62,7,414
"158","a1v2J0000027Lh5QAE",13.7,178,741,563,519,800,61,72,253,88,52,721
"159","a1v2J0000027LhHQAU",11.2,1751,2038,287,85,2250,7,200,1600,219,552,2054
"160","a1v2J0000027LhYQAU",29.7,1239,1531,292,174,1975,29,201,990,183,283,1162
"161","a1v2J0000027LhbQAE",10.2,392,460,68,34,412,0,27,231,47,74,237
"162","a1v2J0000027LhjQAE",40.3,28248,29032,784,272,5505,125,389,3703,746,1523,4783
"163","a1v2J0000027LhmQAE",15.1,192,284,92,93,215,75,90,178,86,159,251
"164","a1v2J0000027LiGQAU",20.2,366,377,11,5,346,5,12,275,9,120,310
"165","a1v2J0000027MF8QAM",46,293,1011,718,620,1779,109,147,484,189,158,1598
"166","a1v2J0000027MFGQA2",10.4,0,5,5,5,10,5,5,3,5,0,2
"167","a1v2J0000027MFHQA2",10.4,27,27,0,0,27,0,0,23,0,9,25
"168","a1v2J0000027MFIQA2",52.2,4088,4507,419,412,3750,51,501,2579,135,1023,4057
"169","a1v2J0000027MFJQA2",10.4,102,135,33,14,109,15,18,92,35,30,227
"170","a1v2J0000027MFTQA2",18.6,3287,3995,708,488,2587,257,291,2279,480,436,3906
"171","a1v2J0000027MFUQA2",7.1,769,884,115,52,883,72,170,689,389,95,696
"172","a1v2J0000027MFXQA2",5.9,98,106,8,0,76,0,4,86,8,33,83
"173","a1v2J0000027MFZQA2",11.9,192,211,19,8,258,5,8,179,13,72,154
"174","a1v2J0000027MFeQAM",16,496,545,49,33,546,19,27,424,36,126,407
"175","a1v2J0000027MFgQAM",18,125,137,12,0,48,0,18,70,14,46,173
"176","a1v2J0000027MHDQA2",28.1,152,237,85,48,416,5,48,143,80,91,593
"177","a1v2J0000027MHJQA2",30.3,643,1112,469,430,1880,76,90,489,95,141,1632
"178","a1v2J0000027MHUQA2",10.7,239,265,26,19,156,0,15,212,42,115,165
"179","a1v2J0000027MHVQA2",12,127,174,47,18,139,27,6,128,34,72,188
"180","a1v2J0000027MHkQAM",9.7,115,123,8,8,90,0,10,51,2,25,153
"181","a1v2J0000027Mv8QAE",24,443,748,305,264,803,21,28,476,382,351,640
"182","a1v2J0000027Mv9QAE",29.8,119,166,47,2,176,0,14,132,39,105,218
"183","a1v2J0000027MwQQAU",12.4,101,110,9,7,98,5,5,81,9,54,116
"184","a1v2J0000027MwRQAU",17.7,940,1706,766,121,1216,102,147,1102,704,329,1540
"185","a1v2J0000027MwTQAU",1.8,38,39,1,0,55,0,0,31,0,24,37
"186","a1v2J0000027MwUQAU",44.3,4725,5638,913,573,5626,320,610,3575,824,560,3877
"187","a1v2J0000027MwaQAE",11.8,57,77,20,12,100,10,10,29,18,45,57
"188","a1v2J0000027MwbQAE",4.9,48,60,12,10,44,11,11,38,10,20,51
"189","a1v2J0000027MwgQAE",11,135,155,20,13,113,0,16,110,10,34,94
"190","a1v2J0000027MwwQAE",7.9,742,1147,405,26,941,13,49,668,358,125,729
"191","a1v2J0000027Mx0QAE",6.9,-17,31,48,41,32,9,13,7,15,1,18
"192","a1v2J0000027MxFQAU",14.5,852,923,71,42,883,31,31,747,463,56,220
"193","a1v2J0000027MxkQAE",46.2,460,552,92,50,469,11,54,313,86,194,417
"194","a1v2J0000027NLiQAM",54.1,2299,2400,101,82,2760,30,147,1968,104,1058,2326
"195","a1v2J0000027NUgQAM",11,82,150,68,59,117,9,26,59,27,20,94
"196","a1v2J0000027NVRQA2",17.6,239,353,114,90,483,7,25,228,123,143,371
"197","a1v2J0000027NVaQAM",3.1,12,14,2,2,8,0,5,12,0,5,26
"198","a1v2J0000027NWGQA2",28,241,313,72,57,647,15,41,195,69,36,373
"199","a1v2J0000027NWkQAM",8.7,424,452,28,20,336,3,9,324,39,86,442
"200","a1v2J0000027Ns5QAE",75.8,2912,3111,199,137,3140,107,126,2353,130,1682,2599
"201","a1v2J0000027NsOQAU",6.2,48,73,25,5,75,9,27,47,9,36,64
"202","a1v2J0000027O5SQAU",23.1,71,142,71,24,34,5,45,124,163,9,47
"203","a1v2J0000027O5VQAU",42.4,488,694,206,88,738,50,71,576,182,207,584
"204","a1v2J0000027O5YQAU",8.7,1059,1621,562,117,1413,112,167,1200,695,108,612
"205","a1v2J0000027O5bQAE",6,12,12,0,0,13,0,0,10,4,4,6
"206","a1v2J0000027O5cQAE",10.8,55,158,103,25,128,0,27,108,68,25,131
"207","a1v2J0000027O5kQAE",8.6,15,33,18,18,23,0,17,11,4,5,18
"208","a1v2J0000027O5sQAE",20.1,116,234,118,84,201,28,44,132,88,64,262
"209","a1v2J0000027O5wQAE",24.8,485,594,109,89,657,5,43,389,37,264,677
"210","a1v2J0000027O5yQAE",1.2,4,4,0,0,1,0,0,3,0,0,4
"211","a1v2J0000027O64QAE",41.5,592,1262,670,419,1333,190,224,810,472,265,884
"212","a1v2J0000027O69QAE",6,33,37,4,2,24,0,8,20,0,7,51
"213","a1v2J0000027O6AQAU",10.6,26,26,0,0,34,0,0,11,0,6,17
"214","a1v2J0000027O6FQAU",20.8,189,211,22,8,224,7,0,107,15,55,199
"215","a1v2J0000027O6IQAU",16.3,225,401,176,72,381,101,56,302,168,125,287
"216","a1v2J0000027O6KQAU",39.1,358,373,15,0,468,0,4,315,9,72,321
"217","a1v2J0000027O6LQAU",28.5,754,846,92,81,827,64,79,585,71,261,521
"218","a1v2J0000027O6fQAE",26.2,56,105,49,4,143,0,9,57,46,38,124
"219","a1v2J0000027O6pQAE",29.3,397,516,119,91,585,16,28,360,28,255,592
"220","a1v2J0000027O6qQAE",19.6,279,291,12,0,403,1,8,227,33,22,254
"221","a1v2J0000027O6rQAE",21.6,94,251,157,154,433,55,95,154,104,69,385
"222","a1v2J0000027OaDQAU",8.7,103,136,33,22,122,0,5,50,7,48,172
"223","a1v2J0000027OaVQAU",11,160,301,141,82,370,7,56,228,103,56,318
"224","a1v2J0000027OacQAE",21.9,107,153,46,32,182,5,14,146,49,62,61
"225","a1v2J0000027OahQAE",16.7,2863,3309,446,83,2776,19,55,1530,352,133,2243
"226","a1v2J0000027OaiQAE",4.2,61,74,13,7,54,3,0,53,5,8,57
"227","a1v2J0000027OalQAE",6,21,26,5,0,39,0,7,20,7,0,10
"228","a1v2J0000027OcYQAU",6.3,34,37,3,3,37,3,4,5,0,8,46
"229","a1v2J0000027OcZQAU",11.4,119,129,10,7,117,0,8,96,2,23,147
"230","a1v2J0000027OcdQAE",15.8,711,778,67,58,712,48,54,663,98,111,454
"231","a1v2J0000027OceQAE",8.3,35,40,5,3,45,0,3,35,6,6,31
"232","a1v2J0000027OclQAE",10.5,452,511,59,17,440,0,18,212,23,260,437
"233","a1v2J0000027OcnQAE",10.1,-51,24,75,71,34,5,69,15,73,5,32
"234","a1v2J0000027OcoQAE",2.3,25,25,0,0,24,0,1,5,0,5,30
"235","a1v2J0000027OcpQAE",3,94,96,2,0,60,0,5,67,2,4,20
"236","a1v2J0000027OcqQAE",10.7,18,23,5,3,31,0,9,18,6,13,17
"237","a1v2J0000027OcrQAE",9.7,64,181,117,98,270,20,38,77,56,7,341
"238","a1v2J0000027OctQAE",24.4,50,85,35,2,97,0,0,27,36,14,78
"239","a1v2J0000027OcvQAE",8.9,46,63,17,4,101,0,7,46,16,22,47
"240","a1v2J0000027OcxQAE",12.1,66,84,18,17,45,0,13,25,17,14,93
"241","a1v2J0000027OcyQAE",18.4,128,135,7,3,83,0,9,23,6,1,178
"242","a1v2J0000027Od0QAE",35.4,174,246,72,14,532,10,10,165,67,115,360
"243","a1v2J0000027Od1QAE",29.6,607,736,129,47,426,9,56,243,93,65,752
"244","a1v2J0000027Od7QAE",27.4,32,127,95,82,188,5,97,78,15,72,128
"245","a1v2J0000027Od8QAE",1.6,5,5,0,0,6,0,0,4,0,4,5
"246","a1v2J0000027OdAQAU",10.7,23,34,11,0,46,0,2,29,29,14,14
"247","a1v2J0000027PFzQAM",12,14,21,7,3,26,0,6,16,0,14,17
"248","a1v2J0000027PG9QAM",1.9,44,44,0,0,24,0,0,41,0,9,21
"249","a1v2J0000027PGDQA2",8.9,100,132,32,8,172,3,1,92,16,58,148
"250","a1v2J0000027PGEQA2",29,18,354,336,305,605,68,72,142,69,40,718
"251","a1v2J0000027PGGQA2",11.2,989,1452,463,107,1485,24,172,1040,302,432,1332
"252","a1v2J0000027PGKQA2",10.5,230,245,15,12,235,2,1,168,5,4,164
"253","a1v2J0000027PGQQA2",17,103,120,17,14,70,4,17,46,8,30,339
"254","a1v2J0000027PGSQA2",50.1,228,371,143,88,544,36,53,139,62,147,511
"255","a1v2J0000027PGTQA2",27,141,211,70,62,286,45,59,125,53,62,146
"256","a1v2J0000027PGVQA2",5.6,15,15,0,0,13,0,0,14,0,1,12
"257","a1v2J0000027PGXQA2",11.5,31,45,14,5,41,0,5,22,15,15,25
"258","a1v2J0000027PGYQA2",10.7,34,36,2,0,53,0,6,30,6,18,28
"259","a1v2J0000027PGaQAM",12.9,2255,2847,592,72,2916,47,131,2023,1482,1505,1909
"260","a1v2J0000027PGcQAM",29.4,82,154,72,63,167,15,63,76,22,25,96
"261","a1v2J0000027PGeQAM",28.5,281,328,47,38,241,12,9,192,14,144,723
"262","a1v2J0000027PGhQAM",19.9,765,829,64,57,639,43,33,690,40,145,456
"263","a1v2J0000027PGiQAM",42.1,1968,2562,594,233,2266,260,442,1739,581,664,2043
"264","a1v2J0000027PGjQAM",9.8,968,1135,167,90,830,93,93,817,148,349,873
"265","a1v2J0000027PGkQAM",3.4,14,15,1,0,15,0,0,10,0,11,15
"266","a1v2J0000027PGnQAM",16.8,459,757,298,251,612,51,88,429,135,349,636
"267","a1v2J0000027PGsQAM",43,1802,2187,385,109,2748,144,221,1595,319,592,2221
"268","a1v2J0000027PHmQAM",31.7,224,296,72,11,397,5,11,223,69,153,387
"269","a1v2J0000027PICQA2",26.9,62,97,35,27,244,15,27,44,18,24,76
"270","a1v2J0000027PIDQA2",10.3,8,18,10,9,16,5,9,11,7,7,13
"271","a1v2J0000027PIFQA2",7.9,28,33,5,0,27,0,2,21,4,11,32
"272","a1v2J0000027PIGQA2",7.8,206,215,9,4,221,0,0,187,2,7,85
"273","a1v2J0000027PIHQA2",5.7,60,67,7,12,49,5,15,49,10,28,93
"274","a1v2J0000027PISQA2",33,-172,5240,5412,328,4661,117,372,4011,601,470,2629
"275","a1v2J0000027PITQA2",12.4,94,100,6,2,76,0,1,58,12,34,104
"276","a1v2J0000027PnCQAU",10.4,366,442,76,29,427,0,27,180,85,201,462
"277","a1v2J0000027PntQAE",6.9,97,108,11,16,66,11,21,76,14,24,73
"278","a1v2J0000027Po5QAE",8.3,93,147,54,34,97,0,3,87,22,20,105
"279","a1v2J0000027PoFQAU",10.8,49,69,20,17,51,5,17,49,7,25,17
"280","a1v2J0000027PoLQAU",27,99,101,2,0,155,0,0,81,2,9,87
"281","a1v2J0000027PoWQAU",30.2,327,445,118,89,463,59,69,277,267,148,157
"282","a1v2J0000027PouQAE",6.1,39,49,10,0,46,2,0,15,8,13,76
"283","a1v2J0000027PovQAE",11.7,57,63,6,5,66,0,6,49,7,50,81
"284","a1v2J0000027PoyQAE",3.1,7,18,11,8,16,0,4,12,4,9,15
"285","a1v2J0000027Pp3QAE",8.7,252,267,15,11,207,15,4,127,9,61,301
"286","a1v2J0000027Pp4QAE",27.8,640,1082,442,241,1013,70,203,763,394,102,1515
"287","a1v2J0000027QHSQA2",38.9,2618,2780,162,77,2578,17,150,2104,156,988,1899
"288","a1v2J0000027QLkQAM",9.9,9,9,0,0,9,0,0,9,0,21,9
"289","a1v2J0000027QLmQAM",27.5,94,96,2,0,60,6,0,47,20,12,65
"290","a1v2J0000027QLuQAM",5.6,18,18,0,0,17,0,0,18,0,9,14
"291","a1v2J0000027QLwQAM",11.3,12,12,0,0,35,0,0,10,4,1,3
"292","a1v2J0000027QLxQAM",10.9,75,88,13,5,122,0,3,69,11,5,83
"293","a1v2J0000027QM0QAM",11.1,9,9,0,0,12,0,0,4,4,3,4
"294","a1v2J0000027QM9QAM",9.7,39,110,71,48,212,13,27,80,28,25,160
"295","a1v2J0000027QMDQA2",6,107,157,50,41,289,5,23,40,9,29,176
"296","a1v2J0000027QMHQA2",33,989,1262,273,216,1973,21,60,519,58,315,1699
"297","a1v2J0000027QMIQA2",17.7,216,276,60,20,250,5,10,203,51,83,287
"298","a1v2J0000027QMMQA2",8,286,344,58,82,285,38,67,261,207,176,187
"299","a1v2J0000027QMnQAM",12.4,86,90,4,2,82,0,1,72,2,19,113
"300","a1v2J0000027QMrQAM",8.5,1524,1669,145,49,1405,29,51,1262,97,330,1155
"301","a1v2J0000027QMtQAM",10.2,133,137,4,2,100,0,4,105,49,66,131
"302","a1v2J0000027QMvQAM",2.5,9,55,46,38,49,6,6,22,0,0,52
"303","a1v2J0000027QMzQAM",16,204,232,28,26,179,5,34,113,11,56,322
"304","a1v2J0000027QN2QAM",8.3,65,99,34,32,127,0,0,62,2,9,148
"305","a1v2J0000027QN3QAM",4.7,8,27,19,16,32,5,13,18,13,5,16
"306","a1v2J0000027QNDQA2",65.1,1702,2024,322,197,3053,41,224,1232,280,347,1970
"307","a1v2J0000027QNFQA2",11,203,213,10,2,159,0,5,140,12,14,104
"308","a1v2J0000027QOCQA2",23.8,544,573,29,4,472,14,18,420,4,121,450
"309","a1v2J0000027QOHQA2",1.5,25,32,7,3,17,0,6,7,8,0,24
"310","a1v2J0000027QORQA2",7.7,-2,19,21,0,16,0,0,12,21,13,19
"311","a1v2J0000027QOUQA2",7.7,47,61,14,11,57,5,50,27,9,10,103
"312","a1v2J0000027QOYQA2",10.4,734,832,98,70,874,73,90,721,67,271,550
