Match ID 18Char,Big Age,big_occupation_category_Agriculture & Natural Resources,"big_occupation_category_Arts, Media & Entertainment",big_occupation_category_Business & Finance,big_occupation_category_Education,"big_occupation_category_Government, Law & Protective Services",big_occupation_category_Human & Social Services,big_occupation_category_Labor & Skilled Trades,big_occupation_category_Medical & Health Services,big_occupation_category_Not in Labor Force / Other,"big_occupation_category_Retail, Service & Hospitality",big_occupation_category_Technology & Engineering,Program Type_Community,Program Type_Site,Program Type_Site Based Facilitated,Program Type_Site Based Plus
a1v2J0000028UxaQAE,29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027tYMQAY,39,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028ItJQAU,36,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000027ynVQAQ,40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002eh53QAA,28,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028BuFQAU,32,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J000002811EQAQ,35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028LzbQAE,35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000027HE3QAM,33,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028JASQA2,31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027w0sQAA,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028CKWQA2,33,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J00000285eZQAQ,29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028eSkQAI,35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002uU92QAE,47,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028ooUQAQ,38,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
a1v2J0000028As5QAE,32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000002uSrAQAU,34,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002egBZQAY,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002fKriQAE,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J000002ABLMQA4,34,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028ko7QAA,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027c62QAA,62,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J00000286ZSQAY,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028ZYMQA2,55,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a1v2J0000028MSyQAM,56,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002uSlRQAU,32,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028ZWeQAM,38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028nYNQAY,30,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J00000282baQAA,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000039wUlQAI,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028evXQAQ,34,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000289yPQAQ,28,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000028sALQAY,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028iaKQAQ,29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002egSuQAI,36,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000038u6iQAA,38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028e4YQAQ,43,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000285ICQAY,34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002ADeWQAW,34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028nu7QAA,34,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000028QIaQAM,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027uilQAA,38,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J0000028E3GQAU,39,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027sUQQAY,40,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000285A9QAI,52,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002859PQAQ,34,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000002807EQAQ,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J0000027hlxQAA,31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027rQ2QAI,31,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J000003L91zQAC,29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028lgDQAQ,30,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J00000287MxQAI,35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000002fNSHQA2,39,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027WkRQAU,63,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000027u44QAA,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1vHt000004fbHkIAI,61,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000041cjGQAQ,37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002uRbHQAU,31,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027u3qQAA,58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027HCqQAM,31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028d72QAA,62,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000288KPQAY,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028exHQAQ,36,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028CsyQAE,30,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028fpfQAA,30,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028OZSQA2,38,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J0000038WUsQAM,50,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028M05QAE,59,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027dAAQAY,44,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028kVuQAI,31,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J0000028KFTQA2,31,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000027gqzQAA,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000039W8PQAU,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J0000027cuuQAA,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028JqqQAE,69,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000002AG0nQAG,29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000027lDMQAY,51,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000288oUQAQ,34,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002uRkvQAE,28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028a1nQAA,68,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000003WpZZQA0,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028OF9QAM,34,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000027vKcQAI,28,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027esxQAA,44,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000038KNMQA2,35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000039DX4QAM,28,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028SwLQAU,34,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a1v2J000003NXK6QAO,22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028bTBQAY,62,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000399waQAA,37,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028eF8QAI,36,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J000003FNd3QAG,34,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028BS3QAM,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J0000028L6mQAE,37,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J000002AFU4QAO,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
a1v2J0000027dACQAY,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027ZDtQAM,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000039ySdQAI,32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000002fCddQAE,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J0000038uWvQAI,61,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000003B8qcQAC,30,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000003AUiOQAW,31,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J00000280buQAA,52,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000037hvcQAA,29,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1vHt000004kUfQIAU,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027dAjQAI,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002ugdBQAQ,34,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028As3QAE,62,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028KvjQAE,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027TeKQAU,33,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027ViJQAU,59,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002eoumQAA,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028BHTQA2,37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028AqFQAU,37,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028YH0QAM,31,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002egLFQAY,35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028ZFaQAM,30,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J000002fLebQAE,51,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000003S38HQAS,52,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000003A6zrQAC,32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028f6iQAA,28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000280EfQAI,63,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027tT8QAI,42,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J00000282FFQAY,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002fABfQAM,31,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000038WtrQAE,63,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028DDQQA2,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028OtRQAU,36,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002fKPXQA2,27,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000038ZFAQA2,34,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000027kGiQAI,34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028F4pQAE,31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027tTDQAY,55,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J00000289AEQAY,56,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J000002egUCQAY,39,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002uRqVQAU,29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000027rCFQAY,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028VD6QAM,50,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002ubJgQAI,28,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000027GVZQA2,44,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J000002ehANQAY,40,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J000002fKdNQAU,36,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J0000028fiGQAQ,52,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000037huoQAA,43,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002fH9cQAE,31,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028N84QAE,31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002uUjZQAU,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002fMxjQAE,40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000038SKWQA2,30,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000038fuUQAQ,26,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027nKvQAI,43,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J000002fNzIQAU,34,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J000002esZRQAY,39,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000038kEaQAI,45,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000038YQNQA2,32,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000038t1NQAQ,34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J000002ufYyQAI,32,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028XaoQAE,32,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a1v2J000002eoojQAA,39,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a1v2J0000027rMRQAY,31,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000003AAV2QAO,31,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000002esZbQAI,61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000003SW4uQAG,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027YmuQAE,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J0000028Qk1QAE,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J000003WJgEQAW,37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000003ABaTQAW,29,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027cfhQAA,28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002fNgQQAU,31,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J000002eiplQAA,31,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028cmYQAQ,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000003LPLFQA4,36,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028Au2QAE,42,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002uejDQAQ,61,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000038XK2QAM,31,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J000003SJLQQA4,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027q8jQAA,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J0000038YAHQA2,29,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028lGtQAI,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002uSQEQA2,38,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J000002fNnlQAE,35,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J00000286mlQAA,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002egMIQAY,31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000038YbKQAU,36,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028HAHQA2,35,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J0000039BvTQAU,26,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000003LI38QAG,58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000003TdSaQAK,38,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a1v2J000002fLeqQAE,48,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J0000027pcyQAA,35,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
a1v2J0000028VeDQAU,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J000002uR1fQAE,38,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000028WQjQAM,39,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
a1v2J0000027sW3QAI,28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000038vFvQAI,44,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027TmmQAE,47,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000003B6AZQA0,32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028ab7QAA,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028AozQAE,31,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J000002uSkcQAE,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J0000028CpJQAU,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000041KHyQAM,27,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000039vyqQAA,33,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J00000290XHQAY,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002eosWQAQ,35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000002uTeQQAU,29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027nuaQAA,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002ABIAQA4,38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028XdbQAE,37,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J000002ff2xQAA,28,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027sKnQAI,38,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000038S5MQAU,57,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027si8QAA,62,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000038SNfQAM,32,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J000002egMDQAY,28,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000004NuEoQAK,37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028NBMQA2,36,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027tEqQAI,35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J00000286T6QAI,41,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000392bbQAA,53,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028qYTQAY,35,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a1v2J000002853DQAQ,27,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027Ns5QAE,31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000290crQAA,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000003N96hQAC,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J000002ABVwQAO,59,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027m0mQAA,38,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
