match_id_18char,big_race_1,big_race_2,big_race_3,little_race_1,little_race_2,little_race_3,match_length,match_count,alignment
a1v2J0000028elqQAA,Other,,NA,Black or African American,NA,NA,23.8,2,0.6666666666666666
a1v2J0000027Yo4QAE,White or Caucasian,,NA,White or Caucasian,NA,NA,67.4,3,1
a1v2J0000027vAsQAI,White or Caucasian,,NA,White or Caucasian,NA,NA,45.5,3,1
a1v2J0000027bhcQAA,White or Caucasian,,NA,White or Caucasian,NA,NA,20.6,3,1
a1v2J0000027aW3QAI,White or Caucasian,,NA,Black or African American,NA,NA,13.3,2,0.6666666666666666
a1v2J0000027b6OQAQ,White or Caucasian,,NA,Other,NA,NA,75.7,2,0.6666666666666666
a1v2J0000028DERQA2,Black or African American,White or Caucasian,,Hispanic,NA,NA,6.7,0,0
a1v2J0000028IusQAE,White or Caucasian,,NA,White or Caucasian,NA,NA,13.3,3,1
a1v2J000002AF8tQAG,Asian,,NA,Hispanic,NA,NA,15.6,2,0.6666666666666666
a1v2J00000283VbQAI,White or Caucasian,,NA,White or Caucasian,NA,NA,34.5,3,1
a1v2J0000028AldQAE,White or Caucasian,,NA,Other,NA,NA,27,2,0.6666666666666666
a1v2J0000038CVBQA2,White or Caucasian,,NA,Black or African American,NA,NA,6.8,2,0.6666666666666666
a1v2J00000284cZQAQ,Other,,NA,Black or African American,NA,NA,8.3,2,0.6666666666666666
a1v2J0000028SvNQAU,Black or African American,,NA,Black or African American,NA,NA,24,3,1
a1v2J0000028MX5QAM,White or Caucasian,,NA,White or Caucasian,NA,NA,60,3,1
a1v2J000002uRJ9QAM,Hispanic,,NA,White or Caucasian,NA,NA,40,2,0.6666666666666666
a1v2J0000028UxaQAE,White or Caucasian,,NA,Black or African American,NA,NA,70.6,2,0.6666666666666666
a1v2J0000027tYMQAY,Asian,,NA,Black or African American,NA,NA,5.8,2,0.6666666666666666
a1v2J0000028ItJQAU,White or Caucasian,,NA,Black or African American,NA,NA,52.7,2,0.6666666666666666
a1v2J0000027ynVQAQ,White or Caucasian,,NA,Black or African American,NA,NA,9.3,2,0.6666666666666666
a1v2J000002eh53QAA,White or Caucasian,,NA,White or Caucasian,NA,NA,38.9,3,1
a1v2J0000028BuFQAU,White or Caucasian,,NA,Black or African American,NA,NA,18.6,2,0.6666666666666666
a1v2J000002811EQAQ,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,8,1,0.3333333333333333
a1v2J0000028LzbQAE,White or Caucasian,,NA,Black or African American,NA,NA,72.1,2,0.6666666666666666
a1v2J0000027HE3QAM,White or Caucasian,,NA,Black or African American,NA,NA,12.4,2,0.6666666666666666
a1v2J0000028JASQA2,Black or African American,White or Caucasian,,Black or African American,NA,NA,12.7,1,0.3333333333333333
a1v2J0000027w0sQAA,White or Caucasian,,NA,Black or African American,NA,NA,9.3,2,0.6666666666666666
a1v2J0000028CKWQA2,White or Caucasian,,NA,Black or African American,NA,NA,32.2,2,0.6666666666666666
a1v2J00000285eZQAQ,White or Caucasian,,NA,Black or African American,NA,NA,67.4,2,0.6666666666666666
a1v2J0000028eSkQAI,White or Caucasian,,NA,Black or African American,NA,NA,81.7,2,0.6666666666666666
a1v2J000002uU92QAE,White or Caucasian,,NA,Black or African American,NA,NA,40.4,2,0.6666666666666666
a1v2J0000028ooUQAQ,White or Caucasian,,NA,Black or African American,NA,NA,10.9,2,0.6666666666666666
a1v2J0000028As5QAE,White or Caucasian,,NA,White or Caucasian,NA,NA,34.7,3,1
a1v2J000002uSrAQAU,White or Caucasian,,NA,Black or African American,NA,NA,75.6,2,0.6666666666666666
a1v2J000002egBZQAY,Asian,,NA,White or Caucasian, Asian,NA,16.2,1,0.3333333333333333
a1v2J000002fKriQAE,White or Caucasian,,NA,White or Caucasian, Hispanic,NA,42.4,2,0.6666666666666666
a1v2J000002ABLMQA4,White or Caucasian,,NA,Black or African American,NA,NA,8.4,2,0.6666666666666666
a1v2J0000028ko7QAA,White or Caucasian,,NA,Black or African American,NA,NA,30.9,2,0.6666666666666666
a1v2J0000027c62QAA,White or Caucasian,,NA,Black or African American,NA,NA,33.2,2,0.6666666666666666
a1v2J00000286ZSQAY,White or Caucasian,,NA,Hispanic,NA,NA,34.6,2,0.6666666666666666
a1v2J0000028ZYMQA2,White or Caucasian,,NA,Other,NA,NA,33.2,2,0.6666666666666666
a1v2J0000028MSyQAM,White or Caucasian,,NA,Other,NA,NA,92.1,2,0.6666666666666666
a1v2J000002uSlRQAU,Black or African American,,NA,Black or African American,NA,NA,34.6,3,1
a1v2J0000028ZWeQAM,White or Caucasian,,NA,White or Caucasian,NA,NA,34,3,1
a1v2J0000028nYNQAY,White or Caucasian,,NA,Black or African American,NA,NA,26,2,0.6666666666666666
a1v2J00000282baQAA,White or Caucasian,,NA,White or Caucasian,NA,NA,38.2,3,1
a1v2J0000039wUlQAI,White or Caucasian,,NA,Other,NA,NA,18.3,2,0.6666666666666666
a1v2J0000028evXQAQ,White or Caucasian,,NA,Black or African American,NA,NA,6.2,2,0.6666666666666666
a1v2J00000289yPQAQ,White or Caucasian,,NA,Black or African American,NA,NA,31.3,2,0.6666666666666666
a1v2J0000028sALQAY,White or Caucasian,,NA,Black or African American,NA,NA,24.8,2,0.6666666666666666
a1v2J0000028iaKQAQ,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,22.4,1,0.3333333333333333
a1v2J000002egSuQAI,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,10,1,0.3333333333333333
a1v2J0000038u6iQAA,Black or African American,,NA,Black or African American,NA,NA,48.5,3,1
a1v2J0000028e4YQAQ,White or Caucasian,,NA,White or Caucasian,NA,NA,81,3,1
a1v2J00000285ICQAY,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,50.4,1,0.3333333333333333
a1v2J000002ADeWQAW,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,52.9,1,0.3333333333333333
a1v2J0000028nu7QAA,White or Caucasian,,NA,Black or African American,NA,NA,42,2,0.6666666666666666
a1v2J0000028QIaQAM,White or Caucasian,,NA,Black or African American,NA,NA,24.2,2,0.6666666666666666
a1v2J0000027uilQAA,Black or African American,,NA,Black or African American,NA,NA,64,3,1
a1v2J0000028E3GQAU,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,41.2,1,0.3333333333333333
a1v2J0000027sUQQAY,White or Caucasian,,NA,White or Caucasian,NA,NA,84.2,3,1
a1v2J00000285A9QAI,White or Caucasian,,NA,Black or African American,NA,NA,28.8,2,0.6666666666666666
a1v2J000002859PQAQ,White or Caucasian,,NA,Black or African American,NA,NA,77.7,2,0.6666666666666666
a1v2J000002807EQAQ,White or Caucasian,,NA,Asian,NA,NA,73,2,0.6666666666666666
a1v2J0000027hlxQAA,White or Caucasian,,NA,Other,NA,NA,5.7,2,0.6666666666666666
a1v2J0000027rQ2QAI,White or Caucasian,,NA,Black or African American,NA,NA,28.1,2,0.6666666666666666
a1v2J000003L91zQAC,White or Caucasian,,NA,Other,NA,NA,31.7,2,0.6666666666666666
a1v2J0000028lgDQAQ,White or Caucasian,,NA,Black or African American,NA,NA,15.7,2,0.6666666666666666
a1v2J00000287MxQAI,White or Caucasian,,NA,White or Caucasian,NA,NA,86.7,3,1
a1v2J000002fNSHQA2,NA,NA,NA,White or Caucasian,NA,NA,5.2,2,0.6666666666666666
a1v2J0000027WkRQAU,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,47.7,1,0.3333333333333333
a1v2J0000027u44QAA,White or Caucasian,,NA,Black or African American,NA,NA,26.3,2,0.6666666666666666
a1vHt000004fbHkIAI,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,15.4,1,0.3333333333333333
a1v2J0000041cjGQAQ,Asian - Other,,NA,Black or African American,NA,NA,28.5,2,0.6666666666666666
a1v2J000002uRbHQAU,White or Caucasian,,NA,Black or African American,NA,NA,48.8,2,0.6666666666666666
a1v2J0000027u3qQAA,White or Caucasian,,NA,Black or African American,NA,NA,62.6,2,0.6666666666666666
a1v2J0000027HCqQAM,White or Caucasian,,NA,Black or African American,NA,NA,54,2,0.6666666666666666
a1v2J0000028d72QAA,White or Caucasian,,NA,White or Caucasian,NA,NA,69.7,3,1
a1v2J00000288KPQAY,White or Caucasian,,NA,White or Caucasian, Hispanic,NA,26.6,2,0.6666666666666666
a1v2J0000028exHQAQ,White or Caucasian,,NA,Black or African American,NA,NA,32.1,2,0.6666666666666666
a1v2J0000028CsyQAE,White or Caucasian,,NA,Black or African American,NA,NA,3.5,2,0.6666666666666666
a1v2J0000028fpfQAA,White or Caucasian,,NA,Black or African American,NA,NA,7.8,2,0.6666666666666666
a1v2J0000028OZSQA2,White or Caucasian,,NA,Black or African American,NA,NA,20.2,2,0.6666666666666666
a1v2J0000038WUsQAM,White or Caucasian,,NA,Black or African American,NA,NA,10.6,2,0.6666666666666666
a1v2J0000028M05QAE,Black or African American,,NA,Other,NA,NA,50.7,2,0.6666666666666666
a1v2J0000027dAAQAY,White or Caucasian,,NA,Black or African American,NA,NA,37.7,2,0.6666666666666666
a1v2J0000028kVuQAI,White or Caucasian,,NA,White or Caucasian,NA,NA,9.7,3,1
a1v2J0000028KFTQA2,White or Caucasian,,NA,White or Caucasian,NA,NA,60.2,3,1
a1v2J0000027gqzQAA,White or Caucasian,,NA,White or Caucasian,NA,NA,3.5,3,1
a1v2J0000039W8PQAU,White or Caucasian,,NA,White or Caucasian,NA,NA,47.1,3,1
a1v2J0000027cuuQAA,White or Caucasian,,NA,White or Caucasian, Hispanic,NA,4.8,2,0.6666666666666666
a1v2J0000028JqqQAE,White or Caucasian,,NA,White or Caucasian,NA,NA,55.5,3,1
a1v2J000002AG0nQAG,White or Caucasian,,NA,Other,NA,NA,71.1,2,0.6666666666666666
a1v2J0000027lDMQAY,White or Caucasian,,NA,White or Caucasian,NA,NA,12,3,1
a1v2J00000288oUQAQ,White or Caucasian,,NA,White or Caucasian,NA,NA,6.2,3,1
a1v2J000002uRkvQAE,White or Caucasian,,NA,Hispanic,NA,NA,30.2,2,0.6666666666666666
a1v2J0000028a1nQAA,White or Caucasian,,NA,Hispanic,NA,NA,79.5,2,0.6666666666666666
a1v2J000003WpZZQA0,Asian - Other,,NA,Other,NA,NA,33,2,0.6666666666666666
a1v2J0000028OF9QAM,White or Caucasian,,NA,Black or African American,NA,NA,20,2,0.6666666666666666
a1v2J0000027vKcQAI,White or Caucasian,,NA,Black or African American,NA,NA,29.2,2,0.6666666666666666
a1v2J0000027esxQAA,White or Caucasian,,NA,Black or African American,NA,NA,8,2,0.6666666666666666
a1v2J0000038KNMQA2,Other,,NA,Black or African American,NA,NA,24,2,0.6666666666666666
a1v2J0000039DX4QAM,White or Caucasian,,NA,Black or African American,NA,NA,21.4,2,0.6666666666666666
a1v2J0000028SwLQAU,White or Caucasian,,NA,White or Caucasian,NA,NA,14.5,3,1
a1v2J000003NXK6QAO,White or Caucasian,,NA,Black or African American,NA,NA,35.7,2,0.6666666666666666
a1v2J0000028bTBQAY,Asian,,NA,Hispanic,NA,NA,36.5,2,0.6666666666666666
a1v2J00000399waQAA,White or Caucasian,,NA,Black or African American,NA,NA,12.5,2,0.6666666666666666
a1v2J0000028eF8QAI,White or Caucasian,,NA,Black or African American,NA,NA,11.3,2,0.6666666666666666
a1v2J000003FNd3QAG,White or Caucasian,,NA,Black or African American,NA,NA,44.9,2,0.6666666666666666
a1v2J0000028BS3QAM,White or Caucasian,,NA,White or Caucasian,NA,NA,22.6,3,1
a1v2J0000028L6mQAE,White or Caucasian,,NA,Black or African American,NA,NA,21.7,2,0.6666666666666666
a1v2J000002AFU4QAO,White or Caucasian,,NA,Black or African American,NA,NA,7.2,2,0.6666666666666666
a1v2J0000027dACQAY,Other,,NA,Other,NA,NA,29.8,3,1
a1v2J0000027ZDtQAM,White or Caucasian,,NA,Black or African American,NA,NA,23.9,2,0.6666666666666666
a1v2J0000039ySdQAI,White or Caucasian,,NA,White or Caucasian,NA,NA,21.6,3,1
a1v2J000002fCddQAE,White or Caucasian,,NA,White or Caucasian,NA,NA,60,3,1
a1v2J0000038uWvQAI,White or Caucasian,,NA,Black or African American,NA,NA,42.9,2,0.6666666666666666
a1v2J000003B8qcQAC,White or Caucasian,,NA,Black or African American,NA,NA,18.2,2,0.6666666666666666
a1v2J000003AUiOQAW,White or Caucasian,,NA,White or Caucasian,NA,NA,20.5,3,1
a1v2J00000280buQAA,White or Caucasian,,NA,Black or African American,NA,NA,4.2,2,0.6666666666666666
a1v2J0000037hvcQAA,White or Caucasian,,NA,Black or African American,NA,NA,26.9,2,0.6666666666666666
a1vHt000004kUfQIAU,White or Caucasian,,NA,White or Caucasian,NA,NA,21,3,1
a1v2J0000027dAjQAI,White or Caucasian,,NA,White or Caucasian,NA,NA,94.1,3,1
a1v2J000002ugdBQAQ,White or Caucasian,,NA,Black or African American,NA,NA,54.5,2,0.6666666666666666
a1v2J0000028As3QAE,White or Caucasian,,NA,White or Caucasian,NA,NA,70.4,3,1
a1v2J0000028KvjQAE,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,68.7,1,0.3333333333333333
a1v2J0000027TeKQAU,White or Caucasian,,NA,Black or African American,NA,NA,47.3,2,0.6666666666666666
a1v2J0000027ViJQAU,White or Caucasian,,NA,Black or African American,NA,NA,70.4,2,0.6666666666666666
a1v2J000002eoumQAA,White or Caucasian,,NA,Black or African American,NA,NA,44.6,2,0.6666666666666666
a1v2J0000028BHTQA2,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,12.6,1,0.3333333333333333
a1v2J0000028AqFQAU,Other,,NA,Hispanic,NA,NA,35.4,2,0.6666666666666666
a1v2J0000028YH0QAM,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,45.5,1,0.3333333333333333
a1v2J000002egLFQAY,White or Caucasian,,NA,Black or African American,NA,NA,18.2,2,0.6666666666666666
a1v2J0000028ZFaQAM,White or Caucasian,,NA,Black or African American,NA,NA,17.2,2,0.6666666666666666
a1v2J000002fLebQAE,White or Caucasian,,NA,Black or African American,NA,NA,41.9,2,0.6666666666666666
a1v2J000003S38HQAS,White or Caucasian,,NA,Other,NA,NA,54.3,2,0.6666666666666666
a1v2J000003A6zrQAC,White or Caucasian,,NA,Black or African American,NA,NA,58.2,2,0.6666666666666666
a1v2J0000028f6iQAA,White or Caucasian,,NA,White or Caucasian,NA,NA,32.2,3,1
a1v2J00000280EfQAI,White or Caucasian,,NA,Other,NA,NA,12.9,2,0.6666666666666666
a1v2J0000027tT8QAI,White or Caucasian,,NA,Black or African American,NA,NA,32.4,2,0.6666666666666666
a1v2J00000282FFQAY,White or Caucasian,,NA,Black or African American,NA,NA,35.4,2,0.6666666666666666
a1v2J000002fABfQAM,White or Caucasian,,NA,Black or African American,NA,NA,68.2,2,0.6666666666666666
a1v2J0000038WtrQAE,White or Caucasian,,NA,Black or African American,NA,NA,26.5,2,0.6666666666666666
a1v2J0000028DDQQA2,White or Caucasian,,NA,Black or African American,NA,NA,19.1,2,0.6666666666666666
a1v2J0000028OtRQAU,White or Caucasian,,NA,White or Caucasian,NA,NA,58.1,3,1
a1v2J000002fKPXQA2,White or Caucasian,,NA,Black or African American,NA,NA,68,2,0.6666666666666666
a1v2J0000038ZFAQA2,Asian,,NA,Other,NA,NA,18.2,2,0.6666666666666666
a1v2J0000027kGiQAI,White or Caucasian,,NA,White or Caucasian,NA,NA,72,3,1
a1v2J0000028F4pQAE,White or Caucasian,,NA,Other,NA,NA,18,2,0.6666666666666666
a1v2J0000027tTDQAY,Black or African American,,NA,Black or African American,NA,NA,15.3,3,1
a1v2J00000289AEQAY,Asian,,NA,Asian,NA,NA,6.9,3,1
a1v2J000002egUCQAY,White or Caucasian,,NA,White or Caucasian,NA,NA,69.3,3,1
a1v2J000002uRqVQAU,White or Caucasian,,NA,Asian,NA,NA,1.9,2,0.6666666666666666
a1v2J0000027rCFQAY,White or Caucasian,,NA,Black or African American,NA,NA,41.6,2,0.6666666666666666
a1v2J0000028VD6QAM,Other,,NA,White or Caucasian,NA,NA,10.1,2,0.6666666666666666
a1v2J000002ubJgQAI,White or Caucasian,,NA,Black or African American,NA,NA,25.3,2,0.6666666666666666
a1v2J0000027GVZQA2,White or Caucasian,,NA,Black or African American,NA,NA,57.8,2,0.6666666666666666
a1v2J000002ehANQAY,Black or African American,,NA,Black or African American,NA,NA,12.5,3,1
a1v2J000002fKdNQAU,Other,,NA,Hispanic,NA,NA,20.6,2,0.6666666666666666
a1v2J0000028fiGQAQ,White or Caucasian,,NA,Black or African American,NA,NA,1.5,2,0.6666666666666666
a1v2J0000037huoQAA,White or Caucasian,,NA,Other,NA,NA,65.7,2,0.6666666666666666
a1v2J000002fH9cQAE,White or Caucasian,,NA,Black or African American,NA,NA,37.2,2,0.6666666666666666
a1v2J0000028N84QAE,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,27.4,1,0.3333333333333333
a1v2J000002uUjZQAU,White or Caucasian,,NA,Black or African American,NA,NA,78.6,2,0.6666666666666666
a1v2J000002fMxjQAE,White or Caucasian,,NA,Black or African American,NA,NA,8,2,0.6666666666666666
a1v2J0000038SKWQA2,White or Caucasian,,NA,Black or African American,NA,NA,35.3,2,0.6666666666666666
a1v2J0000038fuUQAQ,White or Caucasian,,NA,Black or African American,NA,NA,18.9,2,0.6666666666666666
a1v2J0000027nKvQAI,White or Caucasian,,NA,White or Caucasian, Hispanic,NA,25.3,2,0.6666666666666666
a1v2J000002fNzIQAU,White or Caucasian,,NA,Black or African American,NA,NA,15.4,2,0.6666666666666666
a1v2J000002esZRQAY,White or Caucasian,,NA,Black or African American,NA,NA,45.2,2,0.6666666666666666
a1v2J0000038kEaQAI,Hispanic - Other Latinx or Spanish origin,,NA,Black or African American,NA,NA,34.8,2,0.6666666666666666
a1v2J0000038YQNQA2,Other,,NA,Other,NA,NA,32.8,3,1
a1v2J0000038t1NQAQ,White or Caucasian,,NA,Black or African American,NA,NA,64.6,2,0.6666666666666666
a1v2J000002ufYyQAI,White or Caucasian,,NA,Hispanic,NA,NA,34,2,0.6666666666666666
a1v2J0000028XaoQAE,White or Caucasian,,NA,American Indian or Alaska Native,NA,NA,11.5,2,0.6666666666666666
a1v2J000002eoojQAA,White or Caucasian,,NA,Black or African American,NA,NA,19.2,2,0.6666666666666666
a1v2J0000027rMRQAY,White or Caucasian,,NA,Other,NA,NA,70.9,2,0.6666666666666666
a1v2J000003AAV2QAO,White or Caucasian,,NA,Other,NA,NA,13.4,2,0.6666666666666666
a1v2J000002esZbQAI,White or Caucasian,,NA,Black or African American,NA,NA,1.8,2,0.6666666666666666
a1v2J000003SW4uQAG,White or Caucasian,,NA,Black or African American,NA,NA,35,2,0.6666666666666666
a1v2J0000027YmuQAE,White or Caucasian,,NA,Black or African American,NA,NA,3.7,2,0.6666666666666666
a1v2J0000028Qk1QAE,White or Caucasian,,NA,White or Caucasian,NA,NA,39.6,3,1
a1v2J000003WJgEQAW,White or Caucasian,,NA,Other,NA,NA,11.1,2,0.6666666666666666
a1v2J000003ABaTQAW,White or Caucasian,,NA,White or Caucasian,NA,NA,59.6,3,1
a1v2J0000027cfhQAA,White or Caucasian,,NA,Black or African American,NA,NA,60.5,2,0.6666666666666666
a1v2J000002fNgQQAU,White or Caucasian,,NA,White or Caucasian,NA,NA,22.5,3,1
a1v2J000002eiplQAA,White or Caucasian,,NA,Black or African American,NA,NA,22,2,0.6666666666666666
a1v2J0000028cmYQAQ,Asian,Hispanic,,Black or African American,NA,NA,5.6,0,0
a1v2J000003LPLFQA4,White or Caucasian,,NA,White or Caucasian,NA,NA,35.4,3,1
a1v2J0000028Au2QAE,White or Caucasian,,NA,Black or African American,NA,NA,5.3,2,0.6666666666666666
a1v2J000002uejDQAQ,White or Caucasian,,NA,Black or African American,NA,NA,70.4,2,0.6666666666666666
a1v2J0000038XK2QAM,White or Caucasian,,NA,White or Caucasian,NA,NA,10.5,3,1
a1v2J000003SJLQQA4,White or Caucasian,,NA,Other,NA,NA,52.9,2,0.6666666666666666
a1v2J0000027q8jQAA,White or Caucasian,,NA,Black or African American,NA,NA,28.1,2,0.6666666666666666
a1v2J0000038YAHQA2,Asian,,NA,White or Caucasian,NA,NA,43.8,2,0.6666666666666666
a1v2J0000028lGtQAI,Black or African American,,NA,Black or African American,NA,NA,4.3,3,1
a1v2J000002uSQEQA2,White or Caucasian,,NA,Black or African American,NA,NA,50.6,2,0.6666666666666666
a1v2J000002fNnlQAE,White or Caucasian,,NA,Black or African American,NA,NA,47.8,2,0.6666666666666666
a1v2J00000286mlQAA,White or Caucasian,,NA,Black or African American,NA,NA,56,2,0.6666666666666666
a1v2J000002egMIQAY,White or Caucasian,,NA,White or Caucasian,NA,NA,10.8,3,1
a1v2J0000038YbKQAU,NA,NA,NA,Hispanic,NA,NA,8.1,2,0.6666666666666666
a1v2J0000028HAHQA2,White or Caucasian,,NA,Black or African American,NA,NA,72.5,2,0.6666666666666666
a1v2J0000039BvTQAU,White or Caucasian,,NA,Other,NA,NA,15.1,2,0.6666666666666666
a1v2J000003LI38QAG,White or Caucasian,,NA,Other,NA,NA,40.5,2,0.6666666666666666
a1v2J000003TdSaQAK,Other,,NA,Black or African American,NA,NA,17.3,2,0.6666666666666666
a1v2J000002fLeqQAE,Asian,,NA,Black or African American,NA,NA,26,2,0.6666666666666666
a1v2J0000027pcyQAA,White or Caucasian,,NA,Black or African American,NA,NA,53,2,0.6666666666666666
a1v2J0000028VeDQAU,White or Caucasian,,NA,Black or African American,NA,NA,21.2,2,0.6666666666666666
a1v2J000002uR1fQAE,White or Caucasian,,NA,Black or African American, Hispanic,NA,10.2,1,0.3333333333333333
a1v2J0000028WQjQAM,White or Caucasian,,NA,Black or African American,NA,NA,12.2,2,0.6666666666666666
a1v2J0000027sW3QAI,White or Caucasian,,NA,Black or African American,NA,NA,7,2,0.6666666666666666
a1v2J0000038vFvQAI,White or Caucasian,,NA,Black or African American,NA,NA,50.6,2,0.6666666666666666
a1v2J0000027TmmQAE,Black or African American,,NA,White or Caucasian,NA,NA,14.1,2,0.6666666666666666
a1v2J000003B6AZQA0,White or Caucasian,,NA,White or Caucasian,NA,NA,13.8,3,1
a1v2J0000028ab7QAA,White or Caucasian,,NA,Black or African American,NA,NA,33.5,2,0.6666666666666666
a1v2J0000028AozQAE,White or Caucasian,,NA,White or Caucasian,NA,NA,14.4,3,1
a1v2J000002uSkcQAE,White or Caucasian,,NA,Black or African American,NA,NA,12.2,2,0.6666666666666666
a1v2J0000028CpJQAU,White or Caucasian,,NA,Black or African American,NA,NA,13.3,2,0.6666666666666666
a1v2J0000041KHyQAM,White or Caucasian,,NA,White or Caucasian,NA,NA,29.3,3,1
a1v2J0000039vyqQAA,Other,,NA,Black or African American,NA,NA,5,2,0.6666666666666666
a1v2J00000290XHQAY,Other,,NA,Black or African American,NA,NA,19,2,0.6666666666666666
a1v2J000002eosWQAQ,Asian,,NA,Other,NA,NA,33.1,2,0.6666666666666666
a1v2J000002uTeQQAU,White or Caucasian,,NA,White or Caucasian,NA,NA,44,3,1
a1v2J0000027nuaQAA,White or Caucasian,,NA,Black or African American,NA,NA,15.5,2,0.6666666666666666
